# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
2.254550677,0.0265,0.7889,0.5959,0.989
2.259056145,0.0255,0.7898,0.5973,0.991
2.264421562,0.0241,0.7894,0.6032,0.994
2.26915375,0.0226,0.7913,0.6076,0.998
2.274043073,0.0231,0.7889,0.6091,0.997
2.279072187,0.0211,0.7894,0.6105,0.998
2.281697083,0.0206,0.7889,0.6130,0.999
2.289293645,0.0192,0.7898,0.6154,1.001
2.294399166,0.0206,0.7894,0.6198,1.004
2.296928593,0.0206,0.7874,0.6188,1.002
2.30169427,0.0226,0.7894,0.6193,1.004
2.306860833,0.0231,0.7884,0.6193,1.003
2.311168333,0.0241,0.7913,0.6183,1.005
2.314065677,0.0241,0.7889,0.6159,1.001
2.316785312,0.0241,0.7884,0.6149,1.000
2.319594375,0.0260,0.7898,0.6149,1.001
2.322283698,0.0246,0.7889,0.6115,0.998
2.327398229,0.0241,0.7884,0.6095,0.997
2.332607291,0.0255,0.7884,0.6066,0.995
2.337146562,0.0226,0.7874,0.6061,0.994
2.339651145,0.0236,0.7884,0.6051,0.994
2.342276354,0.0231,0.7879,0.6056,0.994
2.344839583,0.0226,0.7894,0.6061,0.995
2.349545156,0.0236,0.7908,0.6076,0.998
2.352165208,0.0246,0.7898,0.6056,0.996
2.354774583,0.0236,0.7908,0.6051,0.996
2.357407083,0.0236,0.7918,0.6037,0.996
2.362243698,0.0231,0.7908,0.6066,0.997
2.365405104,0.0226,0.7898,0.6076,0.997
2.370131041,0.0241,0.7903,0.6149,1.002
2.377712083,0.0265,0.7908,0.6154,1.002
2.380814114,0.0250,0.7864,0.6174,1.000
2.384422864,0.0255,0.7854,0.6169,0.999
2.389290833,0.0255,0.7850,0.6139,0.997
2.392591718,0.0250,0.7859,0.6139,0.998
2.395107656,0.0246,0.7850,0.6115,0.995
2.399795104,0.0255,0.7854,0.6115,0.996
2.402414635,0.0250,0.7859,0.6110,0.996
